date,unity,n
2020-04-25,pri,1526.0
2020-04-25,sai,204.0
2020-04-26,ent,316.0
2020-04-26,evo,1293.0
2020-04-26,int,1270.0
2020-04-26,pri,1448.0
2020-04-26,sai,167.0
2020-04-27,ent,886.0
2020-04-27,evo,2708.0
2020-04-27,int,2799.0
2020-04-27,pri,3119.0
2020-04-27,sai,406.0
2020-04-28,ent,661.0
2020-04-28,evo,2196.0
2020-04-28,int,2190.0
2020-04-28,pri,2509.0
2020-04-28,sai,302.0
2020-04-29,ent,703.0
2020-04-29,evo,2320.0
2020-04-29,int,2335.0
2020-04-29,pri,2633.0
2020-04-29,sai,345.0
2020-04-30,ent,718.0
2020-04-30,evo,2306.0
2020-04-30,int,2350.0
2020-04-30,pri,2612.0
2020-04-30,sai,366.0
2020-05-01,ent,0.0
2020-05-01,evo,0.0
2020-05-01,int,0.0
2020-05-01,pri,0.0
2020-05-01,sai,0.0
2020-05-02,ent,0.0
2020-05-02,evo,0.0
2020-05-02,int,0.0
2020-05-02,pri,0.0
2020-05-02,sai,0.0
2020-05-03,ent,0.0
2020-05-03,evo,2.0
2020-05-03,int,2.0
2020-05-03,pri,2.0
2020-05-03,sai,0.0
2020-05-04,ent,156.0
2020-05-04,evo,454.0
2020-05-04,int,454.0
2020-05-04,pri,492.0
2020-05-04,sai,95.0
2020-05-05,ent,808.0
2020-05-05,evo,2682.0
2020-05-05,int,2790.0
2020-05-05,pri,3068.0
2020-05-05,sai,411.0
2020-05-06,ent,836.0
2020-05-06,evo,2507.0
2020-05-06,int,2533.0
2020-05-06,pri,2851.0
2020-05-06,sai,488.0
2020-05-07,ent,532.0
2020-05-07,evo,1701.0
2020-05-07,int,1814.0
2020-05-07,pri,1941.0
2020-05-07,sai,308.0
2020-05-08,ent,970.0
2020-05-08,evo,2692.0
2020-05-08,int,2816.0
2020-05-08,pri,2962.0
2020-05-08,sai,596.0
2020-05-09,ent,367.0
2020-05-09,evo,1160.0
2020-05-09,int,1226.0
2020-05-09,pri,1282.0
2020-05-09,sai,219.0
2020-05-10,ent,813.0
2020-05-10,evo,2004.0
2020-05-10,int,2177.0
2020-05-10,pri,2268.0
2020-05-10,sai,459.0
2020-05-11,ent,667.0
2020-05-11,evo,1510.0
2020-05-11,int,1637.0
2020-05-11,pri,1737.0
2020-05-11,sai,382.0
2020-05-12,ent,544.0
2020-05-12,evo,1622.0
2020-05-12,int,1754.0
2020-05-12,pri,1875.0
2020-05-12,sai,318.0
2020-05-13,ent,867.0
2020-05-13,evo,2793.0
2020-05-13,int,2820.0
2020-05-13,pri,3192.0
2020-05-13,sai,442.0
2020-05-14,ent,826.0
2020-05-14,evo,2764.0
2020-05-14,int,2808.0
2020-05-14,pri,3149.0
2020-05-14,sai,431.0
2020-05-15,ent,810.0
2020-05-15,evo,2793.0
2020-05-15,int,2815.0
2020-05-15,pri,3206.0
2020-05-15,sai,421.0
2020-05-16,ent,455.0
2020-05-16,evo,1704.0
2020-05-16,int,1733.0
2020-05-16,pri,1964.0
2020-05-16,sai,231.0
2020-05-17,ent,468.0
2020-05-17,evo,1667.0
2020-05-17,int,1698.0
2020-05-17,pri,1914.0
2020-05-17,sai,247.0
2020-05-18,ent,1075.0
2020-05-18,evo,3366.0
2020-05-18,int,3456.0
2020-05-18,pri,3893.0
2020-05-18,sai,554.0
2020-05-19,ent,928.0
2020-05-19,evo,2992.0
2020-05-19,int,3078.0
2020-05-19,pri,3480.0
2020-05-19,sai,480.0
2020-05-20,ent,887.0
2020-05-20,evo,3040.0
2020-05-20,int,3025.0
2020-05-20,pri,3501.0
2020-05-20,sai,453.0
2020-05-21,ent,853.0
2020-05-21,evo,2817.0
2020-05-21,int,2836.0
2020-05-21,pri,3264.0
2020-05-21,sai,430.0
2020-05-22,ent,910.0
2020-05-22,evo,2881.0
2020-05-22,int,2928.0
2020-05-22,pri,3298.0
2020-05-22,sai,485.0
2020-05-23,ent,598.0
2020-05-23,evo,1791.0
2020-05-23,int,1889.0
2020-05-23,pri,2077.0
2020-05-23,sai,319.0
2020-05-24,ent,483.0
2020-05-24,evo,1613.0
2020-05-24,int,1653.0
2020-05-24,pri,1854.0
2020-05-24,sai,271.0
2020-05-25,ent,1059.0
2020-05-25,evo,3313.0
2020-05-25,int,3346.0
2020-05-25,pri,3807.0
2020-05-25,sai,567.0
2020-05-26,ent,938.0
2020-05-26,evo,3003.0
2020-05-26,int,3051.0
2020-05-26,pri,3428.0
2020-05-26,sai,517.0
2020-05-27,ent,896.0
2020-05-27,evo,2888.0
2020-05-27,int,2924.0
2020-05-27,pri,3267.0
2020-05-27,sai,478.0
2020-05-28,ent,916.0
2020-05-28,evo,2720.0
2020-05-28,int,2713.0
2020-05-28,pri,3117.0
2020-05-28,sai,540.0
2020-05-29,ent,866.0
2020-05-29,evo,2639.0
2020-05-29,int,2663.0
2020-05-29,pri,3014.0
2020-05-29,sai,480.0
2020-05-30,ent,558.0
2020-05-30,evo,1758.0
2020-05-30,int,1763.0
2020-05-30,pri,1977.0
2020-05-30,sai,335.0
2020-05-31,ent,510.0
2020-05-31,evo,1511.0
2020-05-31,int,1554.0
2020-05-31,pri,1714.0
2020-05-31,sai,290.0
2020-06-01,ent,0.0
2020-06-01,evo,0.0
2020-06-01,int,0.0
2020-06-01,pri,0.0
2020-06-01,sai,0.0
2020-06-02,ent,0.0
2020-06-02,evo,0.0
2020-06-02,int,0.0
2020-06-02,pri,0.0
2020-06-02,sai,0.0
2020-06-03,ent,2.0
2020-06-03,evo,1.0
2020-06-03,int,2.0
2020-06-03,pri,2.0
2020-06-03,sai,1.0
2020-06-04,ent,501.0
2020-06-04,evo,1171.0
2020-06-04,int,1184.0
2020-06-04,pri,1290.0
2020-06-04,sai,240.0
2020-06-05,ent,786.0
2020-06-05,evo,2733.0
2020-06-05,int,2813.0
2020-06-05,pri,3146.0
2020-06-05,sai,384.0
2020-06-06,ent,547.0
2020-06-06,evo,1670.0
2020-06-06,int,1711.0
2020-06-06,pri,1883.0
2020-06-06,sai,310.0
2020-06-07,ent,1377.0
2020-06-07,evo,3948.0
2020-06-07,int,4015.0
2020-06-07,pri,4485.0
2020-06-07,sai,821.0
2020-06-08,ent,956.0
2020-06-08,evo,2603.0
2020-06-08,int,2722.0
2020-06-08,pri,2856.0
2020-06-08,sai,608.0
2020-06-09,ent,404.0
2020-06-09,evo,1122.0
2020-06-09,int,1191.0
2020-06-09,pri,1251.0
2020-06-09,sai,248.0
2020-06-10,ent,703.0
2020-06-10,evo,1748.0
2020-06-10,int,1861.0
2020-06-10,pri,1959.0
2020-06-10,sai,415.0
2020-06-11,ent,474.0
2020-06-11,evo,1157.0
2020-06-11,int,1308.0
2020-06-11,pri,1368.0
2020-06-11,sai,264.0
2020-06-12,ent,536.0
2020-06-12,evo,1495.0
2020-06-12,int,1589.0
2020-06-12,pri,1714.0
2020-06-12,sai,306.0
2020-06-13,ent,616.0
2020-06-13,evo,2009.0
2020-06-13,int,1968.0
2020-06-13,pri,2243.0
2020-06-13,sai,349.0
2020-06-14,ent,549.0
2020-06-14,evo,1734.0
2020-06-14,int,1758.0
2020-06-14,pri,1953.0
2020-06-14,sai,277.0
2020-06-15,ent,1236.0
2020-06-15,evo,3658.0
2020-06-15,int,3580.0
2020-06-15,pri,4150.0
2020-06-15,sai,658.0
2020-06-16,ent,1070.0
2020-06-16,evo,3412.0
2020-06-16,int,3296.0
2020-06-16,pri,3908.0
2020-06-16,sai,595.0
2020-06-17,ent,1004.0
2020-06-17,evo,3147.0
2020-06-17,int,3054.0
2020-06-17,pri,3573.0
2020-06-17,sai,597.0
2020-06-18,ent,993.0
2020-06-18,evo,3009.0
2020-06-18,int,2971.0
2020-06-18,pri,3409.0
2020-06-18,sai,562.0
2020-06-19,ent,1031.0
2020-06-19,evo,3042.0
2020-06-19,int,3012.0
2020-06-19,pri,3503.0
2020-06-19,sai,587.0
2020-06-20,ent,604.0
2020-06-20,evo,1862.0
2020-06-20,int,1914.0
2020-06-20,pri,2148.0
2020-06-20,sai,364.0
2020-06-21,ent,476.0
2020-06-21,evo,1526.0
2020-06-21,int,1557.0
2020-06-21,pri,1758.0
2020-06-21,sai,296.0
2020-06-22,ent,1279.0
2020-06-22,evo,3777.0
2020-06-22,int,3779.0
2020-06-22,pri,4299.0
2020-06-22,sai,703.0
2020-06-23,ent,1028.0
2020-06-23,evo,3119.0
2020-06-23,int,3161.0
2020-06-23,pri,3590.0
2020-06-23,sai,571.0
2020-06-24,ent,934.0
2020-06-24,evo,2896.0
2020-06-24,int,2920.0
2020-06-24,pri,3356.0
2020-06-24,sai,566.0
2020-06-25,ent,980.0
2020-06-25,evo,2992.0
2020-06-25,int,3019.0
2020-06-25,pri,3457.0
2020-06-25,sai,585.0
2020-06-26,ent,1045.0
2020-06-26,evo,3072.0
2020-06-26,int,3131.0
2020-06-26,pri,3542.0
2020-06-26,sai,632.0
2020-06-27,ent,566.0
2020-06-27,evo,1654.0
2020-06-27,int,1702.0
